timestamp,prices,market_caps,total_volumes
1680134400.0,28394.997780199057,548808373530.0567,21097595427.489532
1680220800.0,28041.123080088284,542369769760.28796,22702531379.35043
1680307200.0,28516.784729688636,551707238559.8757,19112345639.962193
1680393600.0,28498.94463304862,550949831049.3949,10085380788.870918
1680480000.0,28236.508738939792,545181408318.2205,11682876586.814528
1680566400.0,27815.42653124798,539350908801.9282,19711493345.476036
1680652800.0,28175.33033421539,544313567953.4008,14871614372.831093
1680739200.0,28197.20034124555,545409754928.52686,16507617903.813946
1680825600.0,28042.9833864884,542601176317.4441,13079528995.139923
1680912000.0,27934.43871284895,540432353743.3232,10141276803.893911
1680968670.0,28027.950580818993,542253578678.80615,8766548246.305933
